no,id,name,p_type,s_type,rarity,height,weight,ovr,a_ovr,hgt,str,spe,jmp,end,ins,dnk,ft,fg,tp,oiq,diq,drb,pss,reb,r_total,to_evo,from_evo,evo_age,evo_item,evo_ability,mega_evo,mega_x,mega_y,form,form_item,form_ability
18,18,Pidgeot,Normal,Flying,,59,87,40.76,35,53,50,61,60,50,43,41,48,44,30,24,16,43,36,49,648,,17,,,,10073,,,,,
18,10073,Mega Pidgeot,Normal,Flying,,87,87,48.30,50,70,50,71,66,50,43,41,48,65,56,26,18,48,41,51,744,,,,,,,,,,,
19,19,Rattata,Normal,,Common,12,8,21.89,12,5,24,47,45,50,31,31,36,23,12,14,12,22,18,28,398,20,,19,,,,,,,,
20,20,Raticate,Normal,,,28,41,35.29,27,19,37,59,58,50,43,41,49,36,22,32,22,43,36,41,588,,19,,,,,,,,,
19,10091,Rattata-Alola,Dark,Normal,Common,12,8,21.94,12,5,24,47,45,50,31,31,36,23,12,12,14,22,18,28,398,10092,,19,,,,,,,,
20,10092,Raticate-Alola,Dark,Normal,,28,56,35.32,27,19,47,49,48,50,38,37,44,31,18,26,33,48,41,46,575,,10091,,,,,,,,,
21,21,Spearow,Normal,Flying,Common,12,4,22.78,13,5,29,46,44,50,33,33,38,26,15,18,13,18,16,25,409,22,,20,,,,,,,,
22,22,Fearow,Normal,Flying,,47,84,38.04,31,41,42,61,59,50,48,45,53,41,27,26,17,39,31,44,624,,21,,,,,,,,,
23,23,Ekans,Poison,,Uncommon,79,15,29.35,19,67,27,38,37,50,33,33,38,31,18,2,2,35,28,32,471,24,,21,,,,,,,,
24,24,Arbok,Poison,,,138,143,42.22,38,74,39,51,49,50,50,47,56,42,28,12,26,48,40,46,658,,23,,,,,,,,,
25,25,Pikachu,Electric,,Common,16,13,25.88,16,8,27,56,54,50,30,31,36,36,22,13,11,33,26,30,463,26 10100,,,thunderstone dawnstone,,,,,,,
26,26,Raichu,Electric,,,31,66,42.36,38,24,39,66,63,50,48,45,53,50,38,50,25,48,41,38,678,,25,,,,,,,,,
26,10100,Raichu-Alola,Electric,Psychic,,28,46,42.34,38,19,39,66,63,50,45,43,51,52,40,38,38,51,43,35,673,,25,,,,,,,,,
27,27,Sandshrew,Ground,,Common,24,27,22.05,12,15,34,31,29,50,40,39,46,21,10,10,18,17,15,53,428,28,,19,,,,,,,,
28,28,Sandslash,Ground,,,39,65,35.32,27,33,47,43,42,50,53,49,58,33,20,20,33,36,28,61,606,,27,,,,,,,,,
27,10101,Sandshrew-Alola,Ice,Steel,Common,28,88,22.01,12,19,34,31,29,50,40,39,46,16,6,11,12,22,18,54,427,10102,,,icestone,,,,,,,
28,10102,Sandslash-Alola,Ice,Steel,,47,121,35.34,27,41,47,43,42,50,53,49,58,23,12,23,23,41,33,63,601,,10101,,,,,,,,,
29,29,Nidoran ♀,Poison,,Common,16,15,21.86,12,8,37,31,30,50,26,27,32,31,18,11,17,27,21,36,402,30,,19,,,,,,,,
30,30,Nidorina,Poison,,Uncommon,31,44,30.31,20,24,44,39,37,50,34,33,39,38,24,18,24,36,28,45,513,31,29,,moonstone,,,,,,,
31,31,Nidoqueen,Poison,Ground,,51,132,42.39,38,45,53,49,47,50,49,45,54,45,32,28,34,51,43,53,678,,30,,,,,,,,,
32,32,Nidoran ♂,Poison,,Common,20,20,21.87,12,11,32,36,34,50,31,31,37,31,18,11,10,27,21,30,410,33,,19,,,,,,,,
33,33,Nidorino,Poison,,Uncommon,35,43,30.30,20,29,40,43,42,50,39,37,44,38,24,19,14,36,28,39,522,34,32,,moonstone,,,,,,,
34,34,Nidoking,Poison,Ground,,55,137,42.40,38,49,50,53,52,50,54,49,59,49,36,34,22,46,38,50,691,,33,,,,,,,,,
35,35,Clefairy,Fairy,,Common,24,17,26.27,16,15,44,28,27,50,25,27,31,40,26,18,18,41,33,34,457,36,173,,moonstone,,,,,,,
36,36,Clefable,Fairy,,,51,88,40.43,35,45,54,41,39,50,38,37,43,52,40,28,28,53,46,48,642,,36,,,,,,,,,
37,37,Vulpix,Fire,,Uncommon,24,22,27.62,18,15,28,43,42,50,23,25,29,36,22,18,21,41,33,30,456,38,,,firestone,,,,,,,
38,38,Ninetales,FIre,,,43,44,41.40,36,37,46,61,59,50,41,39,46,47,35,23,26,58,51,49,668,,37,,,,,,,,,
37,10103,Vulpix-Alola,Ice,,Uncommon,24,22,27.57,18,15,28,43,42,50,23,25,29,36,22,20,19,41,33,30,456,10104,,,icestone,,,,,,,
38,10104,Ninetales-Alola,Ice,Fairy,,43,44,41.44,36,37,46,65,62,50,36,35,42,47,35,24,23,58,51,49,660,,10103,,,,,,,,,
39,39,Jigglypuff,Normal,Fairy,Common,20,12,22.34,12,11,61,16,19,50,25,27,31,33,20,19,24,12,10,16,374,40,174,,moonstone,,,,,,,
40,40,Wigglytuff,Normal,Fairy,,39,27,40.40,35,33,66,33,32,50,38,37,43,49,36,43,48,33,26,33,600,,39,,,,,,,,,
41,41,Zubat,Poison,Flying,Uncommon,31,17,22.98,13,24,29,38,37,50,25,27,31,26,14,10,8,27,21,28,395,42,169,20,,,,,,,,
42,42,Golbat,Poison,Flying,,63,121,38.04,31,56,47,56,54,50,43,41,48,42,28,15,10,46,38,46,620,,41,,soothebell,,,,,,,
43,43,Oddish,Grass,Poison,Common,20,12,25.13,15,11,32,26,24,50,28,29,33,45,32,18,19,41,33,38,459,44,,19,,,,,,,,
44,44,Gloom,Grass,Poison,Uncommon,31,19,31.53,22,24,39,31,29,50,35,35,41,49,36,22,25,46,38,46,546,45 182,43,,leafstone sunstone,,,,,,,
45,45,Vileplume,Grass,Poison,,47,41,40.07,34,41,47,36,34,50,43,41,48,57,46,25,36,53,46,53,656,,44,,,,,,,,,
46,46,Paras,Bug,Grass,Common,12,12,21.58,12,5,27,21,22,50,38,37,43,33,20,17,17,36,28,38,432,47,,19,,,,,,,,
47,47,Parasect,Bug,Grass,,39,65,35.36,27,33,39,26,24,50,50,47,56,40,26,33,34,48,41,51,598,,46,,,,,,,,,
48,48,Venonat,Bug,Poison,Common,39,66,26.56,17,33,39,33,32,50,30,31,36,31,18,12,10,36,28,35,454,49,,20,,,,,,,,
49,49,Venomoth,Bug,Poison,,59,28,38.86,32,53,44,56,54,50,35,35,41,50,38,18,15,46,38,41,614,,48,,,,,,,,,
50,50,Diglett,Ground,,Common,8,2,24.64,15,3,9,58,57,50,30,31,36,28,16,18,16,31,23,21,427,51,,21,,,,,,,,
51,51,Dugtrio,Ground,,,28,73,41.96,37,19,27,70,66,50,53,49,58,36,22,52,38,43,36,35,654,,50,,,,,,,,,
50,10105,Diglett-Alola,Ground,Steel,Common,8,2,24.65,15,3,9,56,54,50,30,31,36,28,16,16,20,31,23,25,428,10106,,21,,,,,,,,
51,10106,Dugtrio-Alola,Ground,Steel,,28,147,41.90,37,19,27,66,63,50,53,49,58,36,22,44,48,43,36,41,655,,10105,,,,,,,,,
52,52,Meowth,Normal,,Common,16,9,25.06,15,8,29,56,54,50,25,27,31,31,18,13,13,27,21,28,431,53,,20,,,,,,,,
53,53,Persian,Normal,,,39,71,38.60,32,33,42,68,64,50,38,37,43,42,28,25,24,41,33,41,609,,52,,,,,,,,,
52,10107,Meowth-Alola,Dark,,Common,16,9,25.07,15,8,29,56,54,50,20,23,26,36,22,15,11,27,21,28,426,10108,,20,,,,,,,,
53,10108,Persian-Alola,Dark,,,43,73,38.62,32,37,42,68,64,50,33,33,38,45,32,26,19,41,33,41,602,,10107,,,,,,,,,
52,052_f2,Meowth-Galar,Steel,,Common,16,17,25.07,15,8,34,31,29,50,35,35,41,31,18,20,28,27,21,38,446,863,,20,,,,,,,,
54,54,Psyduck,Water,,Uncommon,31,43,27.38,17,24,34,38,37,50,29,29,34,42,28,15,16,33,26,34,469,55,,21,,,,,,,,
55,55,Golduck,Water,,,67,169,41.48,36,59,49,53,52,50,44,41,49,52,40,20,18,48,41,50,666,,54,,,,,,,,,
56,56,Mankey,Fighting,,Common,20,62,25.32,15,11,29,46,44,50,43,41,48,28,16,17,12,31,23,28,467,57,,20,,,,,,,,
57,57,Primeape,Fighting,,,39,71,38.75,32,33,42,58,57,50,55,51,61,40,26,38,17,43,36,41,648,,56,,,,,,,,,
58,58,Growlithe,Fire,,Uncommon,28,42,26.61,17,19,37,41,39,50,38,37,43,44,30,12,10,33,26,33,492,59,,,firestone,,,,,,,
59,59,Arcanine,Fire,,,75,342,43.14,39,65,53,58,57,50,58,53,63,54,42,15,13,48,41,51,721,,58,,,,,,,,,
60,60,Poliwag,Water,,Common,24,27,26.32,16,15,29,56,54,50,28,29,33,31,18,13,13,27,21,30,447,61,,19,,,,,,,,
61,61,Poliwhirl,Water,,Uncommon,39,44,32.64,23,33,42,56,54,50,35,35,41,36,22,16,16,33,26,44,539,62,60,,waterstone king'srock,,,,,,,
62,62,Poliwrath,Water,Fighting,,51,119,42.40,38,45,53,46,44,50,50,47,56,44,30,43,23,53,46,56,686,,61,,,,,,,,,
63,63,Abra,Psychic,,Uncommon,35,43,29.36,19,29,22,56,54,50,13,16,18,55,44,15,7,36,28,11,454,64,,20,,,,,,,,
64,64,Kadabra,Psychic,,,51,125,37.45,30,45,29,63,61,50,20,23,26,60,50,25,10,43,36,25,566,65,63,,everstone,,,,,,,
65,65,Alakazam,Psychic,,,59,106,44.50,42,53,37,70,66,50,28,29,33,65,56,33,13,56,48,33,670,,64,,,,10037,,,,,
65,10037,Mega Alakazam,Psychic,,,47,106,51.04,55,41,37,80,76,50,28,29,33,79,72,54,25,61,53,44,762,,,,,,,,,,,
66,66,Machop,Fighting,,Uncommon,31,43,23.83,14,24,44,28,27,50,43,41,48,28,16,14,9,22,18,35,447,67,,19,,,,,,,,
67,67,Machoke,Fighting,,,59,155,33.90,25,53,49,33,32,50,53,49,58,36,22,20,12,38,31,46,582,68,66,,everstone,,,,,,,
68,68,Machamp,Fighting,,,63,287,41.55,36,56,53,38,37,50,66,61,70,42,28,38,17,51,43,51,701,,67,,,,,,,,,
69,69,Bellsprout,Grass,Poison,Common,28,9,23.24,13,19,34,31,29,50,40,39,46,44,30,13,10,17,15,28,445,70,,19,,,,,,,,
70,70,Weepinbell,Grass,Poison,Uncommon,39,14,30.79,21,33,42,38,37,50,48,45,53,49,36,18,13,31,23,35,551,71,69,,leafstone,,,,,,,
71,71,Victreebel,Grass,Poison,,67,34,40.17,34,59,49,46,44,50,55,51,61,54,42,22,15,43,36,44,671,,70,,,,,,,,,
72,72,Tentacool,Water,Poison,Uncommon,35,100,29.42,19,29,29,46,44,50,23,25,28,36,22,7,11,58,51,28,487,73,,21,,,,,,,,
73,73,Tentacruel,Water,Poison,,63,121,42.58,38,56,49,61,59,50,38,37,43,47,34,10,18,68,61,44,675,,72,,,,,,,,,
74,74,Geodude,Rock,Ground,Common,16,44,21.61,12,8,29,16,19,50,43,41,48,26,14,15,32,17,15,58,431,75,,19,,,,,,,,
75,75,Graveler,Rock,Ground,Uncommon,39,232,31.25,21,33,37,28,27,50,50,47,56,33,20,18,35,31,23,62,550,76,74,,everstone,,,,,,,
76,76,Golem,Rock,Ground,,55,661,42.17,37,49,49,33,32,50,62,57,67,38,24,29,53,41,33,66,683,,75,,,,,,,,,
74,10109,Geodude-Alola,Rock,Electric,Common,16,45,21.61,12,8,29,16,19,50,43,41,48,26,14,21,27,17,15,58,432,10110,,19,,,,,,,,
75,10110,Graveler-Alola,Rock,Electric,Uncommon,39,243,31.25,21,33,37,28,27,50,50,47,56,33,20,24,30,31,23,62,551,10111,10109,,everstone,,,,,,,
76,10111,Golem-Alola,Rock,Electric,,67,697,42.20,37,59,49,33,32,50,62,57,67,38,24,34,39,41,33,66,684,,10110,,,,,,,,,
77,77,Ponyta,Fire,,Uncommon,39,66,31.55,22,33,34,56,54,50,45,43,51,42,28,9,7,41,33,38,564,78,,21,,,,,,,,
78,78,Rapidash,Fire,,,67,209,41.57,36,59,42,63,61,50,53,49,58,47,34,18,13,48,41,46,682,,77,,,,,,,,,
77,077_f2,Ponyta-Galar,Psychic,,Uncommon,31,53,31.50,22,24,34,56,54,50,45,43,51,42,28,11,14,41,33,38,564,078_f2,,21,,,,,,,,
78,078_f2,Rapidash-Galar,Psychic,Fairy,,67,176,41.54,36,59,42,63,61,50,53,49,58,47,34,13,17,48,41,46,681,,077_f2,,,,,,,,,
79,79,Slowpoke,Water,Psychic,Uncommon,47,79,25.68,16,41,53,11,14,50,35,35,41,31,18,11,17,27,21,44,449,80 199,,20,king'srock,,,,,,,
80,80,Slowbro,Water,Psychic,,63,173,40.89,35,56,54,26,24,50,40,39,46,54,42,26,39,48,41,61,646,,79,,,,10071,,,,,
80,10071,Mega Slowbro,Water,Psychic,,79,265,47.23,48,67,54,26,24,50,40,39,46,64,54,33,55,48,41,76,717,,,,,,,,,,,
79,079_f2,Slowpoke-Galar,Psychic,,Uncommon,47,79,25.68,16,41,53,11,14,50,35,35,41,31,18,17,12,27,21,44,450,080_f2 199_f2,,,galaricacuff galaricawreath,,,,,,,
80,080_f2,Slowbro-Galar,Poison,Psychic,,63,155,40.88,35,56,54,26,24,50,53,49,58,54,42,40,27,43,36,56,668,,079_f2,,,,,,,,,
81,81,Magnemite,Electric,Steel,Uncommon,12,13,24.19,14,5,22,33,32,50,20,23,26,52,40,19,17,36,28,46,449,82,,20,,,,,,,,
82,82,Magneton,Electric,Steel,,39,132,36.92,30,33,34,46,44,50,33,33,38,60,50,28,26,43,36,56,610,462,81,,thunderstone,,,,,,,
83,83,Farfetch'd,Normal,Flying,Uncommon,31,33,34.05,25,24,35,41,39,50,48,45,53,40,25,31,31,39,32,38,571,,,,,,,,,,,
83,083_f2,Farfetch'd-Galar,Fighting,,Rare,31,93,34.04,25,24,35,38,37,50,50,47,56,40,25,37,28,39,32,38,576,865,,,,fighting-type,,,,,,
84,84,Doduo,Normal,Flying,Uncommon,55,86,28.38,18,49,27,48,47,50,45,43,51,28,16,6,5,22,18,33,488,85,,20,,,,,,,,
85,85,Dodrio,Normal,Flying,,71,188,40.80,35,62,39,66,63,50,58,53,63,40,26,20,12,38,31,46,667,,84,,,,,,,,,
86,86,Seel,Water,,Uncommon,43,198,28.28,18,37,42,33,32,50,25,27,31,33,20,11,11,43,36,38,469,87,,20,,,,,,,,
87,87,Dewgong,Water,Ice,,67,265,40.83,35,59,53,46,44,50,38,37,43,44,30,19,22,56,48,51,640,,86,,,,,,,,,
88,88,Grimer,Poison,,Common,35,66,25.85,16,29,49,21,22,50,43,41,48,31,18,14,13,33,26,35,473,89,,20,,,,,,,,
89,89,Muk,Poison,,,47,66,40.13,34,41,58,36,34,50,55,51,61,42,28,30,28,58,51,49,672,,88,,,,,,,,,
88,10112,Grimer-Alola,Poison,Dark,Common,28,93,25.80,16,19,49,21,22,50,43,41,48,31,18,16,21,33,26,35,473,10113,,20,,,,,,,,
89,10113,Muk-Alola,Poison,Dark,,39,115,40.18,34,33,58,36,34,50,55,51,61,42,28,28,38,58,51,49,672,,10112,,,,,,,,,
90,90,Shellder,Water,,Uncommon,12,9,21.34,11,5,24,31,29,50,35,35,41,33,20,20,20,12,10,58,423,91,,,waterstone,,,,,,,
91,91,Cloyster,Water,Ice,,59,292,40.79,35,53,34,46,44,50,50,47,56,49,36,31,37,31,23,76,663,,90,,,,,,,,,
92,92,Gastly,Ghost,Poison,Uncommon,51,0,29.35,19,45,24,51,49,50,20,23,26,54,42,10,6,22,18,25,465,93,,20,,,,,,,,
93,93,Haunter,Ghost,Poison,,63,0,37.46,30,56,32,58,57,50,28,29,33,59,48,17,13,36,28,33,577,94,92,,everstone,,,,,,,
94,94,Gengar,Ghost,Poison,,59,89,44.49,42,53,39,66,63,50,35,35,41,64,54,30,24,46,38,41,679,,93,,,,10038,,,,,
94,10038,Mega Gengar,Ghost,Poison,,55,89,51.17,55,49,39,74,69,50,35,35,41,77,70,45,33,56,48,51,772,,,,,,,,,,,
95,95,Onix,Rock,Ground,Pseudo,346,463,40.43,35,83,27,46,44,50,25,27,31,26,14,27,32,31,23,72,558,208,,,metalcoat,,,,,,,
96,96,Drowzee,Psychic,,Uncommon,39,71,28.95,19,33,39,32,30,50,27,28,32,32,19,12,14,53,46,33,480,97,,21,,,,,,,,
97,97,Hypno,Psychic,,,63,167,42.12,37,56,51,44,43,50,39,38,45,45,31,21,26,66,58,46,659,,96,,,,,,,,,
98,98,Krabby,Water,,Common,16,14,21.43,11,8,24,36,34,50,55,51,61,23,12,16,13,12,10,54,459,99,,19,,,,,,,,
99,99,Kingler,Water,,,51,132,36.79,29,45,37,48,47,50,66,61,70,36,22,28,19,33,26,62,650,,98,,,,,,,,,
100,100,Voltorb,Electric,,Uncommon,20,23,27.28,17,11,29,61,59,50,18,21,23,38,24,16,9,36,28,35,458,101,,20,,,,,,,,
101,101,Electrode,Electric,,,47,147,40.89,35,41,39,80,76,50,28,29,33,47,34,24,14,48,41,46,630,,100,,,,,,,,,
102,102,Exeggcute,Grass,Psychic,Uncommon,16,6,21.86,12,8,39,31,29,50,23,25,28,40,26,11,10,31,23,51,425,103 10114,,,leafstone growthmulch,,,,,,,
103,103,Exeggutor,Grass,Psychic,Rare,79,265,40.19,34,67,54,38,37,50,50,47,56,62,52,14,14,46,38,53,678,,102,,,,,,,,,
103,10114,Exeggutor-Alola,Grass,Dragon,,429,916,45.67,45,85,54,33,32,50,55,51,61,62,52,31,20,46,38,53,723,,102,,,,,,,,,
104,104,Cubone,Ground,,Uncommon,16,14,23.16,13,8,34,28,27,50,28,29,33,31,18,18,18,33,26,56,437,105 10115,,20,duskstone,,,,,,,
105,105,Marowak,Ground,,,39,99,40.49,35,33,39,33,32,50,43,41,48,36,22,49,49,48,41,61,625,,104,,,,,,,,,
105,10115,Marowak-Alola,Fire,Ghost,,39,75,40.47,35,33,39,33,32,50,43,41,48,36,22,56,43,48,41,61,626,,104,,,,,,,,,
106,106,Hitmonlee,Fighting,,Rare,59,110,40.82,35,53,34,54,53,50,62,57,67,28,16,24,18,63,56,37,672,,236,,,,,,,,,
107,107,Hitmonchan,Fighting,,Rare,55,111,40.85,35,49,34,49,47,50,55,51,61,28,16,27,27,63,56,51,664,,236,,,,,,,,,
108,108,Lickitung,Normal,,Uncommon,47,144,35.11,27,41,53,26,24,50,30,31,36,40,26,29,30,46,38,49,549,463,,21,,,,,,,,
109,109,Koffing,Poison,,Common,24,2,27.03,17,15,29,28,27,50,35,35,41,40,26,19,32,31,23,56,487,110 110_f2,,20,shinystone,,,,,,,
110,110,Weezing,Poison,,,47,21,40.21,34,41,42,41,39,50,48,45,53,49,36,24,45,43,36,63,655,,109,,,,,,,,,
110,110_f2,Weezing-Galar,Poison,Fairy,,118,35,40.16,34,72,42,41,39,50,48,45,53,49,36,14,22,43,36,63,653,,109,,,,,,,,,
111,111,Rhyhorn,Ground,Rock,Uncommon,39,254,26.94,17,33,49,21,22,50,45,43,51,26,14,20,21,17,15,56,483,112,,20,,,,,,,,
112,112,Rhydon,Ground,Rock,,75,265,38.57,32,65,58,31,29,50,66,61,70,33,20,23,26,31,23,63,649,464,111,,protector,,,,,,,
113,113,Chansey,Normal,,Rare,43,76,40.03,34,37,89,36,34,50,5,7,7,28,16,15,55,61,53,1,494,242,440,,soothebell,,,,,,,
114,114,Tangela,Grass,,Uncommon,39,77,34.00,25,33,42,41,39,50,30,31,36,54,42,25,28,27,21,62,561,465,,21,,,,,,,,
115,115,Kangaskhan,Normal,,Pseudo,87,176,43.92,41,70,58,56,54,50,50,47,56,31,18,21,23,48,41,51,674,,,,,,10039,,,,,
115,10039,Mega Kangaskhan,Normal,,,87,221,51.16,55,70,58,61,59,50,64,59,69,40,26,40,30,58,51,58,793,,,,,,,,,,,
116,116,Horsea,Water,,Uncommon,16,18,22.96,13,8,24,41,39,50,23,25,28,44,30,19,17,12,10,46,416,117,,19,,,,,,,,
117,117,Seadra,Water,,,47,55,36.75,29,41,37,53,52,50,35,35,41,52,40,27,22,31,23,56,595,230,116,,dragonscale,,,,,,,
118,118,Goldeen,Water,,Common,24,33,26.50,17,15,32,42,41,50,36,35,42,28,16,19,16,33,26,41,472,119,,20,,,,,,,,
119,119,Seaking,Water,,,51,86,39.42,33,45,49,45,43,50,49,45,54,42,28,27,27,48,41,44,637,,118,,,,,,,,,
120,120,Staryu,Water,,Uncommon,31,76,30.40,20,24,24,53,52,50,25,27,31,44,30,19,18,36,28,38,499,121,,,waterstone,,,,,,,
121,121,Starmie,Water,Psychic,,43,176,42.62,38,37,39,68,64,50,40,39,46,54,42,29,27,51,43,53,682,,120,,,,,,,,,
122,122,Mr. Mime,Psychic,Fairy,Rare,51,120,43.54,40,45,29,56,54,50,25,27,31,54,42,25,38,68,61,44,649,,439,,,,,,,,,
122,122_f2,Mr. Mime-Galar,Psychic,Ice,,55,125,40.11,34,49,34,61,59,50,35,35,41,50,38,22,17,53,46,44,634,866,439,21,,,,,,,,
123,123,Scyther,Bug,Flying,Rare,59,124,40.15,34,53,44,63,61,50,58,53,63,38,24,17,13,48,41,51,677,212,,,metalcoat,,,,,,,
124,124,Jynx,Ice,Psychic,Rare,55,90,43.03,39,49,42,58,57,50,28,29,33,59,48,34,21,56,48,28,640,,238,,,,,,,,,
125,125,Electabuzz,Electric,,Rare,43,66,39.29,33,37,42,63,61,50,44,42,50,52,40,23,15,51,43,39,652,466,239,,electirizer,,,,,,,
126,126,Magmar,Fire,,Rare,51,98,39.36,33,45,42,57,56,50,50,47,56,54,42,20,13,51,43,39,665,467,240,,magmarizer,,,,,,,
127,127,Pinsir,Bug,,Rare,59,121,41.67,37,53,42,53,52,50,64,59,69,38,24,34,21,43,36,58,696,,,,,,10040,,,,,
127,10040,Mega Pinsir,Bug,Flying,,67,130,49.50,53,59,42,63,61,50,76,71,79,42,28,51,25,53,46,63,809,,,,,,,,,,,
128,128,Tauros,Normal,,Rare,55,195,40.79,35,49,47,66,63,50,53,49,58,31,18,23,20,43,36,56,662,,,,,,,,,,,
129,129,Magikarp,Water,,Pseudo,35,22,20.16,10,29,19,51,49,50,8,11,12,18,8,3,5,7,5,38,313,130,,22,,,,,,,,
130,130,Gyarados,Water,Flying,,256,518,47.26,48,81,54,51,50,50,64,59,69,40,26,25,20,58,51,51,749,,129,,,,10041,,,,,
130,10041,Mega Gyarados,Water,Dark,,256,672,51.11,55,81,54,51,50,50,76,71,79,44,30,30,22,72,66,60,836,,,,,,,,,,,
131,131,Lapras,Water,Ice,Pseudo,98,485,44.29,42,71,64,41,39,50,45,43,51,49,36,18,27,56,48,51,689,,,,,,,,,,,
132,132,Ditto,Normal,,Common,12,9,29.47,20,5,33,35,33,50,27,28,32,35,21,38,38,32,25,34,466,,,,,,,,,,,
133,133,Eevee,Normal,,Uncommon,12,14,24.79,15,5,37,38,37,50,30,31,36,33,20,15,15,41,33,35,456,134 135 136 196 197 470 471 700,,,waterstone thunderstone firestone dawnstone duskstone leafstone icestone shinystone,,,,,,,
134,134,Vaporeon,Water,,Rare,39,64,40.52,35,33,64,43,42,50,35,35,41,57,46,19,37,56,48,41,647,,133,,,,,,,,,
135,135,Jolteon,Electric,,Rare,31,54,40.58,35,24,42,74,69,50,35,35,41,57,46,28,17,56,48,41,663,,133,,,,,,,,,
136,136,Flareon,Fire,,Rare,35,55,40.51,35,29,42,43,42,50,66,61,70,52,40,30,29,63,56,41,714,,133,,,,,,,,,
137,137,Porygon,Normal,,Uncommon,31,81,32.68,23,24,42,31,29,50,33,33,38,49,36,30,25,46,38,46,550,233,,,up-grade,,,,,,,
138,138,Omanyte,Rock,Water,Common,16,17,26.77,17,8,27,28,27,50,23,25,28,50,38,27,26,36,28,58,479,139,,20,,,,,,,,
139,139,Omastar,Rock,Water,,39,77,40.21,34,33,44,38,37,50,33,33,38,59,48,42,39,43,36,64,637,,138,,,,,,,,,
140,140,Kabuto,Rock,Water,Common,20,25,26.76,17,11,24,38,37,50,43,41,48,38,24,23,21,31,23,54,506,141,,20,,,,,,,,
141,141,Kabutops,Rock,Water,,51,89,40.20,34,45,39,51,49,50,60,55,65,42,28,33,24,43,36,59,679,,140,,,,,,,,,
